idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
3,368.9139099121094,220.20059204101562,1722443391587.245,0.8100000000000002,0.66,0.73
3,368.8739929199219,220.46812438964844,1722443391587.249,0.8100000000000002,0.66,0.73
3,368.84759521484375,220.64866638183594,1722443391587.253,0.8100000000000002,0.66,0.73
3,368.83404541015625,220.77053833007812,1722443391587.257,0.8100000000000002,0.66,0.73
3,368.83087158203125,220.86045837402344,1722443391587.261,0.8100000000000002,0.66,0.73
3,368.83380126953125,220.93893432617188,1722443391587.267,0.8100000000000002,0.66,0.73
3,368.837158203125,221.00759887695312,1722443391587.271,0.8100000000000002,0.66,0.73
3,368.8387451171875,221.05731201171875,1722443391587.275,0.8100000000000002,0.66,0.73
3,368.8388366699219,221.0802459716797,1722443391587.281,0.8200000000000002,0.66,0.73
3,368.83856201171875,221.08216857910156,1722443391587.283,0.8200000000000002,0.66,0.73
3,368.83837890625,221.0755157470703,1722443391587.287,0.8300000000000002,0.66,0.73
3,368.84844970703125,221.05990600585938,1722443391587.291,0.8300000000000002,0.66,0.73
3,368.88226318359375,221.0343475341797,1722443391587.298,0.8300000000000002,0.67,0.77
3,368.94598388671875,220.99388122558594,1722443391587.299,0.8400000000000002,0.67,0.77
3,369.0313415527344,220.92864990234375,1722443391587.303,0.8400000000000002,0.67,0.77
3,369.1247863769531,220.8242645263672,1722443391587.307,0.8500000000000002,0.67,0.77
3,369.2266540527344,220.67796325683594,1722443391587.311,0.8500000000000002,0.67,0.77
3,369.34783935546875,220.49331665039062,1722443391587.316,0.8600000000000002,0.67,0.77
3,369.4968566894531,220.2765350341797,1722443391587.321,0.8600000000000002,0.67,0.77
3,369.6676330566406,220.03311157226562,1722443391587.325,0.8600000000000002,0.67,0.77
3,369.89697265625,219.71368408203125,1722443391587.333,0.8700000000000002,0.67,0.77
3,370.21160888671875,219.2887725830078,1722443391587.337,0.8700000000000002,0.67,0.77
3,370.61279296875,218.76834106445312,1722443391587.341,0.8800000000000002,0.67,0.77
3,371.06524658203125,218.19540405273438,1722443391587.35,0.8800000000000002,0.67,0.77
3,371.5364685058594,217.58578491210938,1722443391587.35,0.8800000000000002,0.67,0.77
3,372.0138244628906,216.92710876464844,1722443391587.353,0.8800000000000002,0.67,0.77
3,372.490966796875,216.2087860107422,1722443391587.357,0.8800000000000002,0.6900000000000001,0.73
3,372.970458984375,215.43275451660156,1722443391587.361,0.8900000000000002,0.6900000000000001,0.73
3,373.44635009765625,214.61170959472656,1722443391587.365,0.8900000000000002,0.6900000000000001,0.73
3,373.92340087890625,213.7591094970703,1722443391587.369,0.8900000000000002,0.6900000000000001,0.73
3,374.3974304199219,212.89044189453125,1722443391587.375,0.8900000000000002,0.6900000000000001,0.73
3,374.8739318847656,212.00779724121094,1722443391587.381,0.8900000000000002,0.6900000000000001,0.73
3,375.3677062988281,211.1146240234375,1722443391587.383,0.8900000000000002,0.6900000000000001,0.73
3,375.8904724121094,210.21807861328125,1722443391587.387,0.8900000000000002,0.6900000000000001,0.73
3,376.44415283203125,209.33135986328125,1722443391587.391,0.8900000000000002,0.6900000000000001,0.73
3,377.0212707519531,208.4586944580078,1722443391587.397,0.8900000000000002,0.6900000000000001,0.73
3,377.6156005859375,207.5957794189453,1722443391587.399,0.8900000000000002,0.6900000000000001,0.73
3,378.2203063964844,206.73489379882812,1722443391587.403,0.8900000000000002,0.6900000000000001,0.73
3,378.82965087890625,205.89254760742188,1722443391587.408,0.8900000000000002,0.6900000000000001,0.73
3,379.43865966796875,205.0950927734375,1722443391587.411,0.8900000000000002,0.6900000000000001,0.73
3,380.04583740234375,204.3472900390625,1722443391587.416,0.8900000000000002,0.67,0.7
3,380.65167236328125,203.6399688720703,1722443391587.419,0.8900000000000002,0.67,0.7
3,381.2470397949219,202.96566772460938,1722443391587.425,0.8900000000000002,0.67,0.7
3,381.8290100097656,202.3259735107422,1722443391587.432,0.8900000000000002,0.67,0.7
3,382.4042053222656,201.71435546875,1722443391587.433,0.8900000000000002,0.67,0.7
3,382.98699951171875,201.12680053710938,1722443391587.437,0.8900000000000002,0.67,0.7
3,383.5829162597656,200.5731201171875,1722443391587.441,0.8900000000000002,0.67,0.7
3,384.1884765625,200.06829833984375,1722443391587.445,0.8900000000000002,0.67,0.7
3,384.79669189453125,199.62173461914062,1722443391587.449,0.8900000000000002,0.67,0.7
3,385.39398193359375,199.22720336914062,1722443391587.453,0.8900000000000002,0.67,0.7
3,385.9669494628906,198.8792724609375,1722443391587.457,0.8900000000000002,0.67,0.7
3,386.50970458984375,198.58204650878906,1722443391587.461,0.8900000000000002,0.67,0.7
3,387.0203552246094,198.34181213378906,1722443391587.465,0.8900000000000002,0.67,0.7
3,387.508544921875,198.15020751953125,1722443391587.469,0.8900000000000002,0.67,0.7
3,387.9810791015625,197.9850616455078,1722443391587.475,0.8900000000000002,0.67,0.7
3,388.4521789550781,197.83436584472656,1722443391587.483,0.8900000000000002,0.67,0.7
3,388.9231872558594,197.70101928710938,1722443391587.483,0.8800000000000002,0.67,0.7
3,389.3894348144531,197.60179138183594,1722443391587.487,0.8800000000000002,0.67,0.7
